Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-27 00:00:00+08:00,0.230000,0.240000,0.220000,0.230000,108000,0.000000,0.000000
2019-09-30 00:00:00+08:00,0.250000,0.250000,0.230000,0.250000,32900,0.000000,0.000000
2019-10-01 00:00:00+08:00,0.240000,0.250000,0.240000,0.250000,12510,0.000000,0.000000
2019-10-02 00:00:00+08:00,0.230000,0.250000,0.230000,0.250000,115030,0.000000,0.000000
2019-10-03 00:00:00+08:00,0.260000,0.260000,0.240000,0.250000,41040,0.000000,0.000000
2019-10-04 00:00:00+08:00,0.250000,0.260000,0.250000,0.260000,145030,0.000000,0.000000
2019-10-07 00:00:00+08:00,0.270000,0.370000,0.260000,0.350000,1879540,0.000000,0.000000
2019-10-08 00:00:00+08:00,0.340000,0.370000,0.330000,0.350000,495230,0.000000,0.000000
2019-10-09 00:00:00+08:00,0.350000,0.400000,0.350000,0.390000,1617420,0.000000,0.000000
2019-10-10 00:00:00+08:00,0.380000,0.420000,0.380000,0.400000,1227060,0.000000,0.000000
2019-10-11 00:00:00+08:00,0.410000,0.430000,0.390000,0.400000,497390,0.000000,0.000000
2019-10-14 00:00:00+08:00,0.410000,0.420000,0.320000,0.350000,481550,0.000000,0.000000
2019-10-15 00:00:00+08:00,0.370000,0.380000,0.340000,0.370000,181210,0.000000,0.000000
2019-10-16 00:00:00+08:00,0.380000,0.390000,0.370000,0.370000,299460,0.000000,0.000000
2019-10-17 00:00:00+08:00,0.380000,0.400000,0.370000,0.370000,606010,0.000000,0.000000
2019-10-18 00:00:00+08:00,0.380000,0.380000,0.350000,0.370000,117610,0.000000,0.000000
2019-10-21 00:00:00+08:00,0.370000,0.370000,0.300000,0.340000,130300,0.000000,0.000000
2019-10-22 00:00:00+08:00,0.360000,0.370000,0.340000,0.360000,189780,0.000000,0.000000
2019-10-23 00:00:00+08:00,0.370000,0.400000,0.350000,0.360000,1158860,0.000000,0.000000
2019-10-24 00:00:00+08:00,0.380000,0.410000,0.370000,0.400000,927460,0.000000,0.000000
2019-10-25 00:00:00+08:00,0.400000,0.420000,0.390000,0.400000,338450,0.000000,0.000000
2019-10-29 00:00:00+08:00,0.400000,0.510000,0.400000,0.510000,2128100,0.000000,0.000000
2019-10-30 00:00:00+08:00,0.510000,0.560000,0.500000,0.540000,2173000,0.000000,0.000000
2019-10-31 00:00:00+08:00,0.530000,0.570000,0.520000,0.520000,1177550,0.000000,0.000000
2019-11-01 00:00:00+08:00,0.510000,0.520000,0.480000,0.490000,604550,0.000000,0.000000
2019-11-04 00:00:00+08:00,0.500000,0.530000,0.500000,0.500000,398830,0.000000,0.000000
2019-11-05 00:00:00+08:00,0.500000,0.530000,0.480000,0.500000,677200,0.000000,0.000000
2019-11-06 00:00:00+08:00,0.490000,0.550000,0.490000,0.490000,865200,0.000000,0.000000
2019-11-07 00:00:00+08:00,0.500000,0.510000,0.480000,0.480000,399830,0.000000,0.000000
2019-11-08 00:00:00+08:00,0.490000,0.650000,0.470000,0.600000,2896730,0.000000,0.000000
2019-11-11 00:00:00+08:00,0.620000,0.680000,0.580000,0.600000,1922770,0.000000,0.000000
2019-11-12 00:00:00+08:00,0.620000,0.630000,0.580000,0.590000,525630,0.000000,0.000000
2019-11-13 00:00:00+08:00,0.600000,0.620000,0.570000,0.590000,413340,0.000000,0.000000
2019-11-14 00:00:00+08:00,0.600000,0.610000,0.570000,0.590000,587680,0.000000,0.000000
2019-11-15 00:00:00+08:00,0.590000,0.640000,0.580000,0.590000,1165310,0.000000,0.000000
2019-11-18 00:00:00+08:00,0.600000,0.600000,0.580000,0.590000,347000,0.000000,0.000000
2019-11-19 00:00:00+08:00,0.570000,0.590000,0.560000,0.560000,232620,0.000000,0.000000
2019-11-20 00:00:00+08:00,0.560000,0.560000,0.490000,0.510000,514130,0.000000,0.000000
2019-11-21 00:00:00+08:00,0.490000,0.490000,0.430000,0.440000,566220,0.000000,0.000000
2019-11-22 00:00:00+08:00,0.440000,0.500000,0.440000,0.490000,550050,0.000000,0.000000
2019-11-25 00:00:00+08:00,0.500000,0.540000,0.470000,0.480000,719020,0.000000,0.000000
2019-11-26 00:00:00+08:00,0.490000,0.530000,0.450000,0.470000,161800,0.000000,0.000000
2019-11-27 00:00:00+08:00,0.490000,0.500000,0.470000,0.480000,263280,0.000000,0.000000
2019-11-28 00:00:00+08:00,0.480000,0.510000,0.470000,0.480000,349020,0.000000,0.000000
2019-11-29 00:00:00+08:00,0.500000,0.500000,0.470000,0.490000,257320,0.000000,0.000000
2019-12-02 00:00:00+08:00,0.500000,0.500000,0.460000,0.460000,258690,0.000000,0.000000
2019-12-03 00:00:00+08:00,0.460000,0.470000,0.430000,0.440000,215810,0.000000,0.000000
2019-12-04 00:00:00+08:00,0.440000,0.450000,0.420000,0.450000,78360,0.000000,0.000000
2019-12-05 00:00:00+08:00,0.450000,0.460000,0.420000,0.440000,206480,0.000000,0.000000
2019-12-06 00:00:00+08:00,0.460000,0.470000,0.430000,0.430000,271870,0.000000,0.000000
2019-12-09 00:00:00+08:00,0.450000,0.450000,0.420000,0.420000,94940,0.000000,0.000000
2019-12-10 00:00:00+08:00,0.440000,0.440000,0.410000,0.430000,21100,0.000000,0.000000
2019-12-11 00:00:00+08:00,0.440000,0.450000,0.410000,0.450000,122630,0.000000,0.000000
2019-12-12 00:00:00+08:00,0.440000,0.490000,0.430000,0.490000,785500,0.000000,0.000000
2019-12-13 00:00:00+08:00,0.490000,0.530000,0.490000,0.500000,847210,0.000000,0.000000
2019-12-16 00:00:00+08:00,0.510000,0.540000,0.490000,0.520000,635310,0.000000,0.000000
2019-12-17 00:00:00+08:00,0.520000,0.550000,0.500000,0.500000,294550,0.000000,0.000000
2019-12-18 00:00:00+08:00,0.520000,0.590000,0.520000,0.560000,1665380,0.000000,0.000000
2019-12-19 00:00:00+08:00,0.550000,0.570000,0.530000,0.530000,340840,0.000000,0.000000
2019-12-20 00:00:00+08:00,0.530000,0.540000,0.500000,0.500000,260610,0.000000,0.000000
2019-12-24 00:00:00+08:00,0.550000,0.560000,0.520000,0.530000,1061590,0.000000,0.000000
2019-12-26 00:00:00+08:00,0.530000,0.590000,0.530000,0.560000,1586880,0.000000,0.000000
2019-12-27 00:00:00+08:00,0.570000,0.590000,0.550000,0.560000,568800,0.000000,0.000000
2019-12-30 00:00:00+08:00,0.560000,0.580000,0.560000,0.570000,271980,0.000000,0.000000
2019-12-31 00:00:00+08:00,0.570000,0.570000,0.540000,0.550000,235140,0.000000,0.000000
2020-01-02 00:00:00+08:00,0.560000,0.650000,0.550000,0.610000,3301470,0.000000,0.000000
2020-01-03 00:00:00+08:00,0.630000,0.630000,0.550000,0.560000,570030,0.000000,0.000000
2020-01-06 00:00:00+08:00,0.570000,0.600000,0.560000,0.580000,422580,0.000000,0.000000
2020-01-07 00:00:00+08:00,0.590000,0.610000,0.570000,0.580000,522610,0.000000,0.000000
2020-01-08 00:00:00+08:00,0.560000,0.560000,0.540000,0.540000,433660,0.000000,0.000000
2020-01-09 00:00:00+08:00,0.560000,0.570000,0.500000,0.520000,590380,0.000000,0.000000
2020-01-10 00:00:00+08:00,0.540000,0.540000,0.480000,0.510000,351200,0.000000,0.000000
2020-01-13 00:00:00+08:00,0.530000,0.530000,0.490000,0.490000,136760,0.000000,0.000000
2020-01-14 00:00:00+08:00,0.510000,0.510000,0.470000,0.480000,261970,0.000000,0.000000
2020-01-15 00:00:00+08:00,0.480000,0.500000,0.480000,0.480000,182610,0.000000,0.000000
2020-01-16 00:00:00+08:00,0.480000,0.500000,0.450000,0.450000,468040,0.000000,0.000000
2020-01-17 00:00:00+08:00,0.470000,0.480000,0.470000,0.470000,94640,0.000000,0.000000
