Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2022-06-23 00:00:00+08:00,3.574508,3.679360,3.564975,3.603104,9953563,0.000000,0.000000,3.649622
2022-06-24 00:00:00+08:00,3.641232,3.688892,3.631699,3.669828,5834189,0.000000,0.000000,3.716832
2022-06-27 00:00:00+08:00,3.688891,3.698424,3.650763,3.679360,3822361,0.000000,0.000000,3.726850
2022-06-28 00:00:00+08:00,3.688892,3.727019,3.660295,3.707956,8837044,0.000000,0.000000,3.755932
2022-06-29 00:00:00+08:00,3.707956,3.746084,3.688891,3.688891,8894658,0.000000,0.000000,3.737353
2022-06-30 00:00:00+08:00,3.707956,3.717487,3.641232,3.641232,5847703,0.000000,0.000000,3.690179
2022-07-01 00:00:00+08:00,3.660295,3.688892,3.612636,3.612636,5312509,0.000000,0.000000,3.662069
2022-07-04 00:00:00+08:00,3.631699,3.660295,3.612636,3.622167,3889831,0.000000,0.000000,3.672086
2022-07-05 00:00:00+08:00,3.650764,3.660295,3.593571,3.603104,3867680,0.000000,0.000000,3.653509
2022-07-06 00:00:00+08:00,3.593571,3.650764,3.593571,3.622167,3451780,0.000000,0.000000,3.673058
2022-07-07 00:00:00+08:00,3.612635,3.679360,3.612635,3.679360,6007133,0.000000,0.000000,3.730737
2022-07-08 00:00:00+08:00,3.698424,3.698424,3.641232,3.669828,2785302,0.000000,0.000000,3.721690
2022-07-12 00:00:00+08:00,3.669828,3.698424,3.603104,3.650764,3561928,0.000000,0.000000,3.703112
2022-07-13 00:00:00+08:00,3.660295,3.679360,3.612636,3.641232,6149188,0.000000,0.000000,3.694066
2022-07-14 00:00:00+08:00,3.641232,3.641232,3.574508,3.593571,7343847,0.000000,0.000000,3.646891
2022-07-15 00:00:00+08:00,3.593571,3.631699,3.545912,3.584040,6000528,0.000000,0.000000,3.637846
2022-07-18 00:00:00+08:00,3.593571,3.641232,3.593571,3.622167,2729111,0.000000,0.000000,3.676458
2022-07-19 00:00:00+08:00,3.603104,3.622167,3.593571,3.612636,2955199,0.000000,0.000000,3.667413
2022-07-20 00:00:00+08:00,3.650764,3.660295,3.631699,3.650764,5241685,0.000000,0.000000,3.706027
2022-07-21 00:00:00+08:00,3.631699,3.650763,3.612636,3.641232,4180545,0.000000,0.000000,3.696981
2022-07-22 00:00:00+08:00,3.660295,3.679360,3.641232,3.669828,4089602,0.000000,0.000000,3.726063
